row_id,v2_common_hotel_id,city_id,slug,name,run_id,reason,detail,last_attempted_at
41,422,9658,burjuman-arjaan-by-rotana-dubai,burjuman arjaan by rotana dubai,20260818-120353,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T12:15:58
42,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260818-145517,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-18T15:00:48
43,407,9658,time-palace-hotel,time palace hotel,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T15:03:41
44,410,9658,panorama-bur-dubai-hotel,panorama bur dubai hotel,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T15:06:03
45,412,9658,palm-beach-hotel,palm beach hotel,20260818-145517,no_agoda_match,rejected 'Jomtien Palm Beach Hotel & Resort - Family-Friendly' name=100% strict=48% dist=4957.17km same_city=False,2026-08-18T15:07:02
46,414,9658,imperial-suites-hotel,imperial suites hotel,20260818-145517,no_agoda_match,rejected 'HOTEL IMPERIAL SUITES' name=100% strict=100% dist=1930.31km same_city=False,2026-08-18T15:07:35
47,417,9658,rush-inn-hotel,rush inn hotel,20260818-145517,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-18T15:10:54
48,419,9658,pearl-residence-hotel-apartments,pearl residence hotel apartments,20260818-145517,no_agoda_match,rejected 'North Pearl Residence Apartments' name=91% strict=91% dist=2258.11km same_city=False,2026-08-18T15:13:13
49,420,9658,fortune-karama-hotel,fortune karama hotel,20260818-145517,error,"OSError: Could not find a suitable TLS CA certificate bundle, invalid path: /Volumes/Personal/BookMe/Scraper-Agoda-Bookme-Dubai/venv/lib/python3.14/site-packages/certifi/cacert.pem",2026-08-18T15:27:22
50,421,9658,majestic-city-retreat-hotel,majestic city retreat hotel,20260818-145517,agoda_unreachable,"suggest failed: Could not find a suitable TLS CA certificate bundle, invalid path: /Volumes/Personal/BookMe/Scraper-Agoda-Bookme-Dubai/venv/lib/python3.14/site-packages/certifi/cacert.pem",2026-08-18T15:27:26
51,421,9658,majestic-city-retreat-hotel,majestic city retreat hotel,20260818-145517,error,"OSError: Could not find a suitable TLS CA certificate bundle, invalid path: /Volumes/Personal/BookMe/Scraper-Agoda-Bookme-Dubai/venv/lib/python3.14/site-packages/certifi/cacert.pem",2026-08-18T15:27:26
