id,mime_type,attachment_url,attachment_size,attachable_type,attachable_id,category,created_at,updated_at
3808905,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f1d213ca46130f0df589c51e387d2fd2.jpg,MED,App\Models\Hotels\Room,852,room-image,2026-08-12 11:26:58,2026-08-12 11:26:58
3808906,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/162e100529697ae163e1b76789c483f2.jpg,MED,App\Models\Hotels\Room,852,room-image,2026-08-12 11:26:58,2026-08-12 11:26:58
3808907,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/71283711c8db7aedbe1d94d67040a47f.jpg,MED,App\Models\Hotels\Room,852,room-image,2026-08-12 11:26:58,2026-08-12 11:26:58
3809256,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/fe35a2f93fa8aec31481f4fbea7a0bfd.jpg,MED,App\Models\Hotels\Room,853,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809257,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f7cfeb277c3451d62de18092728f69e6.jpg,MED,App\Models\Hotels\Room,853,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809258,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f1d213ca46130f0df589c51e387d2fd2.jpg,MED,App\Models\Hotels\Room,853,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809259,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/162e100529697ae163e1b76789c483f2.jpg,MED,App\Models\Hotels\Room,853,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809260,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/71283711c8db7aedbe1d94d67040a47f.jpg,MED,App\Models\Hotels\Room,853,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809271,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/cd3a6439b93caaa6e2c59d9815441ba6.jpg,MED,App\Models\Hotels\Room,855,room-image,2026-08-12 11:27:30,2026-08-12 11:27:30
3809272,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/8f28e74138fad41c2bc7f296d323a501.jpg,MED,App\Models\Hotels\Room,855,room-image,2026-08-12 11:27:30,2026-08-12 11:27:30
3809273,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/83a7f7e5fd48728b71cd8c31d4b1cf50.jpg,MED,App\Models\Hotels\Room,855,room-image,2026-08-12 11:27:30,2026-08-12 11:27:30
3809274,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/177f7a7a8446500d3981472fc137598a.jpg,MED,App\Models\Hotels\Room,855,room-image,2026-08-12 11:27:30,2026-08-12 11:27:30
3809275,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/74316653ef1064798572c1b5f9b6b7c6.jpg,MED,App\Models\Hotels\Room,855,room-image,2026-08-12 11:27:30,2026-08-12 11:27:30
3808884,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/50209ec73fcaab8d4d718e9d4a3bf87a.jpg,MED,App\Models\Hotels\Room,1533,room-image,2026-08-12 11:26:08,2026-08-12 11:26:08
3808885,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/c132c3c62d5d238baa45ad03c4c7e246.jpg,MED,App\Models\Hotels\Room,1533,room-image,2026-08-12 11:26:09,2026-08-12 11:26:09
3808886,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/49f1dfe1370e2435a987b4567ac4277b.jpg,MED,App\Models\Hotels\Room,1533,room-image,2026-08-12 11:26:09,2026-08-12 11:26:09
3808887,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/fcf3480d1522e6686f2740f4e38f8f45.jpg,MED,App\Models\Hotels\Room,1533,room-image,2026-08-12 11:26:09,2026-08-12 11:26:09
3809251,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/fe35a2f93fa8aec31481f4fbea7a0bfd.jpg,MED,App\Models\Hotels\Room,1662,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809252,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f7cfeb277c3451d62de18092728f69e6.jpg,MED,App\Models\Hotels\Room,1662,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809253,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/f1d213ca46130f0df589c51e387d2fd2.jpg,MED,App\Models\Hotels\Room,1662,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809254,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/162e100529697ae163e1b76789c483f2.jpg,MED,App\Models\Hotels\Room,1662,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809255,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/71283711c8db7aedbe1d94d67040a47f.jpg,MED,App\Models\Hotels\Room,1662,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
3809261,image,https://cdn.bookmepk.com/sky/assets/images/hotels/rooms/fe35a2f93fa8aec31481f4fbea7a0bfd.jpg,MED,App\Models\Hotels\Room,1663,room-image,2026-08-12 11:27:29,2026-08-12 11:27:29
